Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),Entry__calculat…(C),Exit__calculat…(C)
12,15,30,81818.59,81000.4041,,84273.1477,-9818.230799999961,-0.010000000000000009,2025-04-10 09:45:00,2025-04-10 13:30:00,0 days 03:45:00,,81789.58027358646,81669.85983115985,48.97976479503087,32.056905425300386
12,35,36,81640.0,80823.5901,,84089.1897,-9796.918799999985,-0.010000121264086226,2025-04-10 14:45:00,2025-04-10 15:00:00,0 days 00:15:00,,81504.4180604702,81427.63332799016,45.07639393389034,35.209552164227375
12,57,75,79913.05,79113.9195,,82310.4415,-9589.565999999992,-0.010000000000000009,2025-04-10 20:15:00,2025-04-11 00:45:00,0 days 04:30:00,,79710.75742275367,79589.12570327801,52.28013984158271,27.260954761026056
12,79,109,79757.22,82149.9263,78959.6379,82149.9263,28712.475600000063,0.02999987085808664,2025-04-11 01:45:00,2025-04-11 09:15:00,0 days 07:30:00,,79669.25549511482,81209.05225234183,62.25771271435357,72.73048817841043
12,119,129,82208.34,81386.2566,,84674.59019999999,-9865.000800000038,-0.010000000000000009,2025-04-11 11:45:00,2025-04-11 14:15:00,0 days 02:30:00,,81977.23061541177,82159.13816707811,65.3700563319884,33.719875700101625
11,134,223,82184.92,84650.4779,81363.08069999999,84650.4779,27121.136899999998,0.030000125327128035,2025-04-11 15:30:00,2025-04-12 13:45:00,0 days 22:15:00,,82145.79829766919,83780.95469600975,55.74232816746181,77.01758880732525
11,235,318,84747.24,83899.7676,,87289.6572,-9322.196399999986,-0.010000000000000009,2025-04-12 16:45:00,2025-04-13 13:30:00,0 days 20:45:00,,84549.0931350321,84459.50141779485,65.1951630533795,27.011640934909053
11,330,342,84293.06,83450.12939999999,,86821.8518,-9272.236600000077,-0.01000000000000012,2025-04-13 16:30:00,2025-04-13 19:30:00,0 days 03:00:00,,84117.80450117208,84381.53261981823,42.18836476221773,40.880555151290636
11,360,511,83760.0,86272.8,82922.4,86272.8,27640.800000000032,0.030000000000000027,2025-04-14 00:00:00,2025-04-15 13:45:00,1 days 13:45:00,,83742.40256652108,85695.61027123916,62.58295927078451,45.854115148720915
11,513,513,85774.5,84916.7649,,88347.7453,-9435.086100000059,-0.009999884581081808,2025-04-15 14:15:00,2025-04-15 14:15:00,0 days 00:00:00,,85632.21267101438,85632.21267101438,37.62928821852578,37.62928821852578
11,561,1033,83804.01,86318.13029999999,82965.9699,86318.13029999999,27655.323299999945,0.030000000000000027,2025-04-16 02:15:00,2025-04-21 00:15:00,4 days 22:00:00,,83712.04679415708,85076.406706974,50.625321478433364,74.76897329549581
11,1049,1181,87250.99,89868.53,86378.49,89868.53,28792.93999999993,0.03000011805023628,2025-04-21 04:15:00,2025-04-22 13:15:00,1 days 09:00:00,,86783.42187738576,88761.09437170089,64.82462454702636,74.04604443952543
11,1194,1215,90676.23,93396.5169,89769.4677,93396.5169,29923.15590000007,0.030000000000000027,2025-04-22 16:30:00,2025-04-22 21:45:00,0 days 05:15:00,,90184.63148662334,91348.18120673772,63.675946597276535,77.8119709794439
11,1219,1354,92739.13,91811.7387,,95521.30390000001,-10201.304300000033,-0.010000000000000009,2025-04-22 22:45:00,2025-04-24 08:30:00,1 days 09:45:00,,91834.19670694448,92463.29355975741,67.27193820504088,21.858375493601145
11,1360,1472,92476.89,95251.207,91552.131,95251.207,30517.48699999995,0.03000011137917813,2025-04-24 10:00:00,2025-04-25 14:00:00,1 days 04:00:00,,92409.67823884857,94287.28671695484,50.68701126651591,72.42779359332249
11,1474,1629,94680.8,93733.992,,97521.224,-10414.88800000005,-0.010000000000000009,2025-04-25 14:30:00,2025-04-27 05:15:00,1 days 14:45:00,,94414.37234653221,94255.53004804904,64.21087821196521,37.8154615720716
11,1641,1708,94159.51,93217.91489999999,,96984.2953,-10357.546100000065,-0.010000000000000009,2025-04-27 08:15:00,2025-04-28 01:00:00,0 days 16:45:00,,94121.23632081026,93798.05663770293,59.978896432644646,23.038180718969542
11,1716,2042,93621.64,96430.2892,92685.4236,96430.2892,30895.1412,0.030000000000000027,2025-04-28 03:00:00,2025-05-01 12:30:00,3 days 09:30:00,,93529.45221018443,95823.09110231117,46.77940168307676,78.04573206369773
11,2047,2368,96163.08,95201.43930000001,,99047.9621,-10578.04769999988,-0.010000102950113332,2025-05-01 13:45:00,2025-05-04 22:00:00,3 days 08:15:00,,95998.47175007217,95556.60481847296,38.598046722819944,40.36175014315037
11,2395,2527,94423.84,93479.6016,,97256.5552,-10386.622400000022,-0.010000000000000009,2025-05-05 04:45:00,2025-05-06 13:45:00,1 days 09:00:00,,94364.3309605082,93952.75043460561,55.82677115869283,30.342961118810777
11,2529,2566,94046.38,96867.7611,93105.90629999999,96867.7611,31035.192099999986,0.029999890479569746,2025-05-06 14:15:00,2025-05-06 23:30:00,0 days 09:15:00,,93995.57643286309,95462.73609946464,59.60985363102726,81.71531952458156
11,2578,2640,96888.01,95919.1299,,99794.6503,-10657.681099999943,-0.009999999999999898,2025-05-07 02:30:00,2025-05-07 18:00:00,0 days 15:30:00,,96624.36317979035,96747.97952358938,61.579101069902194,25.539889102636394
11,2652,2697,96766.8,99669.804,95799.132,99669.804,31933.04400000001,0.030000000000000027,2025-05-07 21:00:00,2025-05-08 08:15:00,0 days 11:15:00,,96554.029423093,99003.8461083773,54.06974016660956,71.4330036270151
11,2708,2747,99780.66,102774.0901,98782.8633,102774.0901,32927.731099999975,0.030000103226416774,2025-05-08 11:00:00,2025-05-08 20:45:00,0 days 09:45:00,,99469.19171225531,101283.43976619912,59.92067527712795,70.21372706400624
11,2753,3076,102566.0,105642.99029999999,101540.3499,105642.99029999999,33846.893299999894,0.03000010042314205,2025-05-08 22:15:00,2025-05-12 07:00:00,3 days 08:45:00,,101982.20911807139,104222.4922775991,69.64053516737401,81.10294448865591
11,3079,3095,104727.98,103680.6903,,107869.8091,-11520.186699999933,-0.01000009453061157,2025-05-12 07:45:00,2025-05-12 11:45:00,0 days 04:00:00,,104385.30092128845,104334.53322435869,58.44794687611244,36.0030264870527
11,3104,3105,104320.0,103276.7901,,107449.58970000001,-11475.308900000018,-0.010000094900306733,2025-05-12 14:00:00,2025-05-12 14:15:00,0 days 00:15:00,,104169.52399402624,104053.73504221422,43.67746414149809,30.20256807615705
